term,rows,mean_scaled_atual,share_scaled_atual_pct,mean_scaled_dedup,share_scaled_dedup_pct,mean_raw_atual,share_raw_atual_pct
Bolsonaro,53,12.62,52.76,12.62,52.76,12.62,52.55
Lula,53,10.11,42.27,10.11,42.27,10.11,42.11
Simone Tebet,53,0.45,1.89,0.45,1.89,0.45,1.89
Ciro Gomes,53,0.38,1.58,0.38,1.58,0.38,1.57
Padre Kelmon,53,0.23,0.98,0.23,0.98,0.3,1.26
Soraya Thronicke,53,0.08,0.35,0.08,0.35,0.11,0.47
Felipe d'Avila,53,0.04,0.16,0.04,0.16,0.04,0.16
Eymael,53,0.0,0.0,0.0,0.0,0.0,0.0
Léo Péricles,53,0.0,0.0,0.0,0.0,0.0,0.0
Sofia Manzano,53,0.0,0.0,0.0,0.0,0.0,0.0
Vera Lúcia,53,0.0,0.0,0.0,0.0,0.0,0.0
